IC in uA,UCE in mV,IB in uA,SIB in uA,SIC in uA,SUCE in mV
0,0,20,2.5,10,10
2940,500,20,,,12.5
2950,1000,20,,,15
2920,1500,20,,,17.5
3050,2000,20,,,20
3060,2510,20,,,22.55
3040,3000,20,,,25
3140,3520,20,,,27.6
3170,4000,20,,,30
1580,110,20,,,10.55
2890,200,20,,,11
2940,300,20,,,11.5
70,20.9,20,,,0.2045
260,41.8,20,,,0.309
560,60.7,20,,,0.4035
1020,80.5,20,,,0.5025
1550,99.5,20,,,0.5975
2040,120.4,20,,,0.702
2410,139.5,20,,,0.7975
2710,159.5,20,,,0.8975
2800,179.5,20,,,0.9975
2880,197.5,20,,,1.0875
0,5.3,50,,,0.1265
170,19.9,50,,,0.1995
640,41.6,50,,,0.308
1390,61.6,50,,,0.408
2330,79.3,50,,,0.4965
3530,98.1,50,,,0.5905
4040,121.2,50,,,0.706
5940,144.1,50,,,0.8205
6440,160.8,50,,,0.904
6730,181,50,,,1.005
6860,197.5,50,,,1.0875
7010,290,50,,,2.45
7100,255,50,,,2.275
7140,287,50,,,2.435
7150,325,50,,,2.625
7170,367,50,,,2.835
7190,412,50,,,3.06
7210,495,50,,,3.475
7300,788,50,,,4.94
7590,1581,50,,,8.905
0,4,90,,,1.02
50,8,90,,,1.04
270,18,90,,,1.09
1080,40,90,,,1.2
2560,63,90,,,1.315
4120,80,90,,,1.4
5920,99,90,,,1.495
8920,131,90,,,1.655
10020,147,90,,,1.735
11120,171,90,,,1.855
11500,195,90,,,1.975
12070,220,90,,,2.1
12270,258,90,,,2.29
12400,324,90,,,2.62
12470,391,90,,,2.955
12520,451,90,,,3.255
12530,1034,90,,,6.17
