alpha in degree,N in dimensionless,UA in kV,SUA in kV,Uz in V,Suz in V,Salpha
0.400,25503.000,22.000,0.100,525.000,1.000,0.200
1.000,25309.000,,,,,
1.400,25392.000,,,,,
2.000,79559.000,,,,,
2.400,18587.000,,,,,
3.000,15608.000,,,,,
3.400,12111.000,,,,,
4.000,3806.000,,,,,
4.400,1374.000,,,,,
5.000,643.000,,,,,
5.400,414.000,,,,,
6.000,273.000,,,,,
6.400,187.000,,,,,
7.000,199.000,,,,,
7.400,215.000,,,,,
8.000,397.000,,,,,
8.400,610.000,,,,,
9.000,986.000,,,,,
9.400,1274.000,,,,,
10.000,1730.000,,,,,
10.400,2049.000,,,,,
11.000,2417.000,,,,,
11.400,2346.000,,,,,
12.000,2688.000,,,,,
12.400,2804.000,,,,,
13.000,2561.000,,,,,
13.400,2512.000,,,,,
14.000,2331.000,,,,,
14.400,2504.000,,,,,
15.000,2552.000,,,,,
15.400,2357.000,,,,,
16.000,2325.000,,,,,
16.400,2220.000,,,,,
17.000,2236.000,,,,,
17.400,2125.000,,,,,
18.000,1894.000,,,,,
18.400,2092.000,,,,,
19.000,1990.000,,,,,
19.400,1911.000,,,,,
20.000,10133.000,,,,,
20.400,5185.000,,,,,
21.000,1836.000,,,,,
21.400,1721.000,,,,,
22.000,10536.000,,,,,
22.400,27362.000,,,,,
23.000,1639.000,,,,,
23.400,1213.000,,,,,
24.000,968.000,,,,,
24.400,935.000,,,,,
25.000,800.000,,,,,
25.400,766.000,,,,,
26.000,708.000,,,,,
26.400,694.000,,,,,
27.000,563.000,,,,,
27.400,558.000,,,,,
28.000,477.000,,,,,
28.400,512.000,,,,,
29.000,404.000,,,,,
29.400,382.000,,,,,
30.000,382.000,,,,,
30.400,363.000,,,,,
5.200,523.000,,,,,
5.600,348.000,,,,,
5.800,283.000,,,,,
6.200,203.000,,,,,
6.600,197.000,,,,,
6.800,190.000,,,,,
7.200,194.000,,,,,
7.600,254.000,,,,,
7.800,338.000,,,,,
8.200,465.000,,,,,
19.200,1915.000,,,,,
19.600,2832.000,,,,,
19.800,6735.000,,,,,
20.200,10034.000,,,,,
20.600,2395.000,,,,,
20.800,1916.000,,,,,
21.200,1728.000,,,,,
21.600,1799.000,,,,,
21.800,2696.000,,,,,
22.200,25110.000,,,,,
22.600,21962.000,,,,,
22.800,4674.000,,,,,
23.200,1229.000,,,,,
23.600,1123.000,,,,,
23.800,992.000,,,,,
24.200,971.000,,,,,
